date,portfolio_value
2023-01-25,109601.43267815636
2023-02-01,109601.43267815636
2023-02-08,109601.43267815636
2023-02-15,109601.43267815636
2023-02-22,109601.43267815636
2023-03-01,109601.43267815636
2023-03-08,109601.43267815636
2023-03-15,109601.43267815636
2023-03-22,109601.43267815636
2023-03-29,109601.43267815636
2023-04-05,109601.43267815636
2023-04-12,109601.43267815636
2023-04-19,109601.43267815636
2023-04-26,109601.43267815636
2023-05-03,109601.43267815636
2023-05-10,109601.43267815636
2023-05-17,109601.43267815636
2023-05-24,109601.43267815636
2023-05-31,109601.43267815636
2023-06-07,109601.43267815636
2023-06-14,109601.43267815636
2023-06-21,109601.43267815636
2023-06-28,109601.43267815636
2023-07-05,109601.43267815636
2023-07-12,109601.43267815636
2023-07-19,109601.43267815636
2023-07-26,109601.43267815636
2023-08-02,109601.43267815636
2023-08-09,109601.43267815636
2023-08-16,109601.43267815636
2023-08-23,109601.43267815636
2023-08-30,109601.43267815636
2023-09-06,109601.43267815636
2023-09-13,109601.43267815636
2023-09-20,109601.43267815636
2023-09-27,109601.43267815636
2023-10-04,109601.43267815636
2023-10-11,109601.43267815636
2023-10-18,109601.43267815636
2023-10-25,109601.43267815636
2023-11-01,109601.43267815636
2023-11-08,109601.43267815636
2023-11-15,109601.43267815636
2023-11-22,109601.43267815636
2023-11-29,109601.43267815636
2023-12-06,109601.43267815636
2023-12-13,109601.43267815636
2023-12-20,109601.43267815636
2023-12-27,109601.43267815636
2024-01-03,109601.43267815636
2024-01-10,109601.43267815636
2024-01-17,109601.43267815636
2024-01-24,109601.43267815636
2024-01-31,109601.43267815636
2024-02-07,109601.43267815636
2024-02-14,109601.43267815636
2024-02-21,109601.43267815636
2024-02-28,109601.43267815636
2024-03-06,109601.43267815636
2024-03-13,134592.47833856323
2024-03-20,134592.47833856323
2024-03-27,134592.47833856323
2024-04-03,134592.47833856323
2024-04-10,134592.47833856323
2024-04-17,134592.47833856323
2024-04-24,134592.47833856323
2024-05-01,134592.47833856323
2024-05-08,134592.47833856323
2024-05-15,134592.47833856323
2024-05-22,138961.53619961927
2024-05-29,149139.48061820827
2024-06-05,149139.48061820827
2024-06-12,149139.48061820827
2024-06-19,131738.1181995318
2024-06-26,131738.1181995318
2024-07-03,130545.56804954623
2024-07-10,130545.56804954623
2024-07-17,130545.56804954623
2024-07-24,147072.856882344
2024-07-31,147072.856882344
2024-08-07,147072.856882344
2024-08-14,147072.856882344
2024-08-21,147072.856882344
2024-08-28,147072.856882344
2024-09-04,147072.856882344
2024-09-11,147072.856882344
2024-09-18,147072.856882344
2024-09-25,147072.856882344
2024-10-02,147072.856882344
2024-10-09,147072.856882344
2024-10-16,147072.856882344
2024-10-23,147072.856882344
2024-10-30,147072.856882344
2024-11-06,147072.856882344
2024-11-13,147072.856882344
2024-11-20,147072.856882344
2024-11-27,147072.856882344
2024-12-04,147072.856882344
2024-12-11,147072.856882344
2024-12-18,147072.856882344
2024-12-25,147072.856882344
2025-01-01,147072.856882344
2025-01-08,147072.856882344
2025-01-15,147072.856882344
2025-01-22,147072.856882344
2025-01-29,147072.856882344
2025-02-05,147072.856882344
2025-02-12,122092.99667523846
2025-02-19,122092.99667523846
2025-02-26,122092.99667523846
2025-03-05,122092.99667523846
2025-03-12,122092.99667523846
2025-03-19,122092.99667523846
2025-03-26,122092.99667523846
2025-04-02,122092.99667523846
2025-04-09,122092.99667523846
2025-04-16,122092.99667523846
2025-04-23,122092.99667523846
2025-04-30,122092.99667523846
2025-05-07,122092.99667523846
2025-05-14,117831.2448491769
2025-05-21,117831.2448491769
2025-05-28,117831.2448491769
2025-06-04,117831.2448491769
2025-06-11,117831.2448491769
